key current-time xcor ycor available-power actual-power
 57 3.7907138819171537 3.4859301819992408 -7.436198341448732 0 0 
 3 3.7907138819171537 3.7052298116320124 6.986642819718821 0 0 
 77 3.7907138819171537 2.539954100051991 1.7949913120392895 0 0 
 7 3.7907138819171537 -12.559122958651795 -15.02210994318777 0 0 
 29 3.7907138819171537 -4.712429806496932 4.746406362943554 0 0 
 15 3.7907138819171537 -7.519190256525442 -1.3540062339448606 2 0 
 34 3.7907138819171537 -19.08071653588689 13.850652585694316 0 0 
 12 3.7907138819171537 10.790132331461171 18.72924936134638 1 1 
 75 3.7907138819171537 -9.481631975184643 -14.53227393806498 0 0 
 73 3.7907138819171537 -5.396643686168911 0.987826436676846 0 0 
 21 3.7907138819171537 5.2125880637333495 10.411173866490635 0 0 
 70 3.7907138819171537 -11.776854784574486 17.35469042858547 -1 0 
 16 3.7907138819171537 10.26635618005488 7.616119073824904 0 0 
 11 3.7907138819171537 -15.84859431361239 4.366823511798027 1 1 
 83 3.7907138819171537 11.694341143619459 15.360031663505866 0 0 
 23 3.7907138819171537 -18.393607458532255 13.426603661559314 -1 -1 
 47 3.7907138819171537 -1.9982144826272223 8.502864246115744 0 0 
 1 3.7907138819171537 -6.559786282193222 6.903200500044626 0 0 
 20 3.7907138819171537 10.646553585553336 -16.90855108106885 0 0 
 82 3.7907138819171537 5.208583159685876 6.697217377127462 0 0 
 62 3.7907138819171537 -13.682408486693163 -8.30624548588482 0 0 
 25 3.7907138819171537 16.733804236395557 9.11056992205882 0 0 
 28 3.7907138819171537 9.672758555553541 -17.070920513099896 0 0 
 84 3.7907138819171537 -19.0540488157301 4.95356792121487 0 0 
 26 3.7907138819171537 -19.25748528536692 19.083419643415006 0 0 
 43 3.7907138819171537 -6.162816136405525 -4.552003484270968 0 0 
 22 3.7907138819171537 16.330838041040064 -14.269655355350952 0 0 
 4 3.7907138819171537 13.930100575548057 -8.50695034772436 0 0 
 56 3.7907138819171537 -5.820920287329406 -7.310567605107249 0 0 
 53 3.7907138819171537 -13.454021537017509 13.01154306897319 0 0 
 69 3.7907138819171537 -17.199053486097124 3.1625103085788275 0 0 
 14 3.7907138819171537 -12.227053252494873 -19.005302536966955 0 0 
 48 3.7907138819171537 9.444919765806272 17.6304073543596 0 0 
 35 3.7907138819171537 -11.079637738684582 -14.579829593156607 1 0 
 27 3.7907138819171537 -15.364660936409493 7.421403601860239 0 0 
 2 3.7907138819171537 13.08336197920077 7.866904838700848 0 0 
 31 3.7907138819171537 10.78170967989119 5.410543907070631 0 0 
 66 3.7907138819171537 9.650024562178176 -15.337028679930116 0 0 
 54 3.7907138819171537 19.22310070314737 18.157318862387932 0 0 
 32 3.7907138819171537 -2.674793027485206 11.77297704706987 0 0 
 51 3.7907138819171537 -13.260207813371707 -19.38428681028395 0 0 
 30 3.7907138819171537 -13.182307898507894 -8.958480617479516 0 0 
 19 3.7907138819171537 2.0208685128574007 -1.117365939949743 2 0 
 36 3.7907138819171537 17.00557911147455 -0.8391659505986233 1 1 
 86 3.7907138819171537 -9.630754268543509 -13.376267564514972 0 0 
 13 3.7907138819171537 -5.069633181947571 9.878948318736859 0 0 
 72 3.7907138819171537 17.024768731197067 15.283694415028867 0 0 
 71 3.7907138819171537 -7.037168159408072 8.015605317551355 0 0 
 81 3.7907138819171537 -11.463407065676664 -0.5982819875785471 -1 -1 
 88 3.7907138819171537 -3.3697728116271106 9.412208119527643 0 0 
 10 3.7907138819171537 12.956119612766265 3.0384664343199175 0 0 
 46 3.7907138819171537 8.450402785947626 13.822852924495113 0 0 
 8 3.7907138819171537 -5.11746919706504 9.639346701191863 0 0 
 24 3.7907138819171537 -9.750904590490986 2.771686849242403 0 0 
 65 3.7907138819171537 12.551734779679961 -9.936485377204676 -1 -1 
 17 3.7907138819171537 7.579435062500405 15.399753624436336 0 0 
 18 3.7907138819171537 -10.803293482099027 12.945685077826955 -2 0 
 78 3.7907138819171537 -4.686277330667576 10.660516399986836 0 0 
 41 3.7907138819171537 19.025704142992872 -16.692093868453078 0 0 
 9 3.7907138819171537 -4.94006398169114 -13.82750801046523 0 0 
 87 3.7907138819171537 12.439267688096264 13.350328983617842 2 0 
 55 3.7907138819171537 -0.38815486436655566 -4.035135288348141 0 0 
